input_text,target_text,slang_terms,category,difficulty_level
Found someone who gets the ily energy,I found someone who genuinely understands I love you,"ily, affection",social_media,easy
fr tho absolutely stunning nobody predicted the lol,"oh my goodness absolutely stunning that nobody anticipated the laughing out loud, it's funny","lol, laughter",sarcasm,easy
genuinely that is giving extra energy.,honestly that is giving a very specific extra feeling.,extra,chat,medium
Found someone who gets the no sleep gang energy rn,I found someone who genuinely understands people who stay up very late I swear,"no sleep gang, exhaustion",social_media,hard
Dude i'm literally ttyl rn,I am literally experiencing talk to you later right now,"ttyl, farewell",chat,easy
Omg that was so main character syndrome istg,Oh my goodness that was so acting as if you're the center of everything I swear,"main character, ego",texting,hard
genuinely that comeback was so villain era honestly.,best friend that comeback was so extremely villain era honestly.,so villain era,chat,hard
this is yourr daily reminder that the lore existss periodt,This is your reminder that the full backstory is real I swear,"lore, history",social_media,medium
Idk why im being so bussin bussin atm,I do not know why I am so absolutely excellent right now,"bussin bussin, emphasis",texting,medium
My study group is carrying me that's very stonks on god,"My study group is helping me, which shows real stocks, but often used humorously for a bad decision I swear","stonks, irony",college,medium
Ok but that's giving major talking stage energy,That situation is giving off major early phase of romantic interest energy,"talking stage, relationship",chat,medium
Tbh i'm just vibing in my brb arc,Honestly I am just relaxing in my be right back phase,"brb, temporary absence",texting,easy
That group project was lmao and I did it alone bestie,"That group project showed laughing my ass off, very funny and I completed it alone without question","lmao, laughter",college,easy
The internet blew up because that was straight he cooked af istg,The internet blew up because that was straight extremely he did it perfectly honestly,he cooked af,chat,hard
We are so noob tube right now in this match,We are performing at the level of easy weapon used by beginners in this match,"noob tube, gaming",gaming,medium
Bro the dorm wifi is absolutely clout,The dormitory internet connection is absolutely online influence or popularity,"clout, influence",college,medium
Hmu when you're done being chad ok,"Contact me when you are done experiencing confident, dominant, impressive person","chad, confidence",texting,medium
Not me being period about this bestie,"I find myself being very end of discussion, that's final about all this I swear","period, finality",chat,medium
Omg idk why im being very certified hood classic atm,Genuinely i do not know why i am very something genuinely great from the culture right now,"certified hood classic, authentic",texting,hard
ngl why is everyone so iykyk lately?,everyone why is everyone so if you know you know lately?,iykyk,chat,medium
Smh the situation is very diff,"I am disappointed, the situation is very skill gap between players","diff, skill gap",texting,medium
wait this is your daily reminder that virgin vs chad exists,truly this is your reminder that weak person versus confident person is real,"virgin, chad, comparison",social_media,hard
The syllabus is giving dead real quick,The course outline is displaying that's hilarious / I'm done laughing very early on,"dead, laughter",college,medium
This video is giving serious rent free af vibes.,This video is giving serious extremely staying in your mind uninvited vibes.,rent free af,chat,hard
Surely this will go well being very gg wp and all,"Surely this will end well given all the good game, well played involved","gg wp, acknowledgment",sarcasm,medium
not to be that person but surely this will go well being so tbf and all,truly surely this will end well given all the to be fair involved,"tbf, fairness",sarcasm,medium
Wait is that not I can't?,"Wait, is that not considered I can't handle this, too funny or overwhelming?","I can't, overwhelmed",chat,medium
fr tho he is npc energy af.,not to overthink this but he is extremely npc energy.,npc energy af,chat,hard
bruh that lecture was npc i learned nothing,hey that lecture was so someone acting without personality I gained nothing from it,"npc, personality",college,medium
neverr seen anything moree say less in my entire life,"I have never witnessed anything more understood, I get it without explanation in my entire life","say less, acknowledgment",sarcasm,medium
The pulling an all-nighter is real today folks,The feeling of staying awake all night to study or work is very real today,"all-nighter, studying",social_media,hard
the fit check is giving drip,the outfit inspection post is showing excellent fashion sense,"fit, drip",social_media,medium
Not all heroes wear capes some are simply irl,"Not all remarkable people wear capes, some simply embody in real life","irl, reality",meme,medium
Nobody: absolutely nobody: me: I can't,"Everyone was silent but me, displaying I can't handle this, too funny or overwhelming","I can't, overwhelmed",social_media,medium
"That joke was very corny, i cant..",That joke was very cringey and unoriginal.,corny,social_media,medium
"Society: be normal. me, built different: locked in","Society says act normally and I, being different, display fully focused and concentrated","locked in, focus",meme,medium
What a time to be alive and experience understood the vibe,What a remarkable time to be alive experiencing matched the energy perfectly,"vibe, understanding",sarcasm,hard
Wait is that not yk lmao,"Wait, is that not considered you know? honestly","yk, familiarity",chat,easy
Omg thiss is certified no thoughts simply vibes and i will not explain,"I swear this is genuinely carefree, relaxed state and I will not explain further","vibes, relaxed",social_media,hard
The gg wp is real today folks,"The feeling of good game, well played is very real today","gg wp, acknowledgment",social_media,medium
Main character moment but make it trash,Feeling like the main character but expressed through bad quality,"trash, poor quality",social_media,medium
Patch notes dropped and the meta is now down bad,"The update changed things and the approach is now desperate, in a pitiful state","down bad, desperation",gaming,medium
lowkey oh absolutely love how the lore this all is,okay so i absolutely love how the full backstory all of this is,"lore, history",sarcasm,medium
I am feeling really delulu right now.,I am feeling really extremely being delusional right now.,so delulu,chat,hard
Brain: sleep. also brain: think about big yikes,Brain says sleep but also tells me to think about that's very awkward or bad,"big yikes, disapproval",meme,hard
Current status: absolute outta pocket,"Current mood: complete inappropriate, out of line","outta pocket, inappropriate",social_media,medium
Wth why is everything so ok hun today,What the heck why is everything so dismissively patronizing today,"ok hun, dismissal",texting,medium
Live footage of me being soft launching,Live footage of me embodying subtly hinting at a new relationship,"soft launch, relationship",social_media,medium
Bestie said dead and left the chat,My best friend said it plainly and ended the conversation,"dead, laughter",chat,medium
He went full lowkey take mode during the match.,He went full somewhat secretly mode during the match.,lowkey take,chat,medium
That fit is very hot take lmao,That outfit is very hot take and that is funny,so hot take,chat,hard
Five stars for the I can't rating truly special,"Five stars for the I can't handle this, too funny or overwhelming, truly a special experience","I can't, overwhelmed",sarcasm,medium
omg my friend group chat was giving invalid energy all day.,hold on my friend group chat was giving not acceptable energy all day.,invalid,chat,medium
Step 1: omfg. step 2: ??? step 3: profit,"Step one is extremely shocked, step two is unclear, step three is profit","omfg, shock",meme,medium
she soft launched her boyfriend finally,she finally subtly hinted at having a boyfriend on social media,soft launch,social_media,hard
The cafeteria was I'm dead today no cap periodt,"The cafeteria served something I'm laughing so hard today, no exaggeration without question","dead, laughter",college,medium
"This is fine (it's not, it's essay cooked me)",Everything is fine but actually it is the essay exhausted me,"cooked, exhaustion",meme,hard
Absolutely stunning nobody predicted the glow up bestie,Absolutely stunning that nobody anticipated the significant positive transformation truly,"glow up, transformation",sarcasm,medium
Is it simply me or is this giving let him cook energy on god,Is it simply me or is this giving do something well energy? i swear,let him cook,chat,hard
Step 1: L + ratio. step 2: ??? step 3: profit no cap,"Step one is complete failure online, step two is unclear, step three is profit without question","L, ratio, criticism",meme,hard
this lobby is built different its giving essay cooked me,"This lobby is different, it is displaying the essay exhausted me","cooked, exhaustion",gaming,hard
"That fit was actually salty, no cap.","That outfit was actually extremely bitter or upset, no lies.",so salty,chat,hard
lowkey wait is that not ratio + bozo?,"genuinely wait, is that not considered complete public embarrassment?","ratio, bozo, criticism",chat,hard
real talk campus at 2am giving on god energy,"hey the campus at two in the morning has real I swear, seriously energy","on god, oath",college,medium
How it started: fine. how it's going: understood assignment no cap,How it began was fine but now it has become did exactly what was needed I swear,"understood assignment, performance",meme,medium
Did you catch how goated that was rn,Did you catch how extremely being the greatest that was? and that is funny,so goated,chat,hard
If you know no thoughts head empty you know periodt,"If you understand not thinking about anything, relaxed, you understand right now","no thoughts head empty, mindless",social_media,hard
"Society: be normal. me, built different: imho","Society says act normally and I, being different, display in my humble opinion","imho, opinion",meme,medium
not to be that person but ok but that's giving major fr fr energy,"not to overthink this but that situation is giving off major seriously, absolutely for real energy","fr fr, emphasis",chat,medium
ok so that whole situation was peak mid,"quite openly that whole situation was the peak of mediocre, average, not impressive","mid, mediocrity",chat,medium
Not the cooked hitting different tonight,The in serious trouble feeling is hitting differently tonight,"cooked, trouble",social_media,medium
Everything about this moment is corny rn,Everything about this moment is cringey and that is funny,corny,social_media,medium
I got I can't by that last boss,"I was defeated by that boss in a I can't handle this, too funny or overwhelming way","I can't, overwhelmed",gaming,medium
He is dead af periodt,He is extremely dead honestly,dead af,chat,hard
Brb gonna go process this L moment,"I will be right back, I need to process this loss, failure, bad outcome moment","L, failure",texting,medium
"ok so you cooked so hard, that was peak npc.","hey you did so well, that was peak someone acting without personality.",npc,chat,medium
genuinely everyonee on discord went full yikes af when that happened.,everyone everyone on Discord went full extremely yikes when that happened.,yikes af,chat,hard
fr tho bestie said respawn and left the chat,not to overthink this but my best friend said it plainly and ended the conversation,"respawn, comeback",chat,medium
Genuinely can we acknowledge how oh completely this is,Hold on can we acknowledge how sarcastically agreeing this situation is,"sarcasm, disagreement",chat,medium
Bro that midterm ate and left no crumbs i'm wyd ong,That midterm absolutely dominated and now I am what are you doing right now,"wyd, activity",college,easy
Bro that on god was actually wild bestie,"Honestly that I swear, seriously was really surprising honestly","on god, oath",chat,medium
Never seen anything more parasocial in my entire life,I have never witnessed anything more one-sided emotional connection to a celebrity in my entire life,"parasocial, connection",sarcasm,medium
Walked into the exam and went full lol,"Entered the exam room and immediately displayed laughing out loud, it's funny","lol, laughter",college,easy
I'm not even gonna lie that was sure jan,"I won't lie, that genuinely showed sarcastically disbelieving someone","sure jan, disbelief",chat,medium
Genuinely that fit is very ong..,"Hold on that outfit is very on god, i swear.",so ong,chat,hard
Idk why im being very big brain time atm bestie,I do not know why i am very moment of clever thinking right now friend,"big brain, intelligence",texting,hard
How do people stay this bruh all the time?,How do people stay this extremely expression of disbelief all the time?,so bruh,chat,hard
Ngl rn im fully in my goated phase,Honestly right now I am fully in my greatest of all time level phase,"goated, excellence",texting,medium
Yes continue please this living in my head rent free is very helpful,"Yes please continue, this constantly thinking about something is very incredibly helpful","rent free, obsession",sarcasm,hard
He is fanum tax af.,He is extremely fanum tax.,fanum tax af,chat,hard
My gpa after this semester gonna be mid,"My academic performance after this term will be mediocre, average, not impressive","mid, mediocrity",college,medium
This era is all about big W and healing,This time period is about major win or achievement and personal recovery,"big W, victory",social_media,hard
sis that group project was fr and I did it alone,"best friend that group project showed for real, seriously and I completed it alone","fr, affirmation",college,easy
The way this is giving wyd with no hesitation,The way this shows what are you doing so effortlessly,"wyd, activity",social_media,easy
dude bro that fit was actually wild,"genuinely honestly that outfit, clothing was really surprising","fit, outfit",chat,medium
How do people stay this random aura all the time?,How do people stay this a mysterious personal energy all the time?,random aura,chat,medium
genuinely ok ttyl this is too ok hun to handle,"friend okay talk later, this is too dismissively patronizing to process","ok hun, dismissal",texting,medium
"Wait, was that not completely based take?","Wait, was that not completely confident and unapologetic?",based take,chat,medium
His reaction was so tea I could not stop laughing.,His reaction was so gossip I could not stop laughing.,tea,chat,medium
Day 47 of my lmao arc and counting rn,"Day forty-seven of my laughing my ass off, very funny phase and still going and that is funny","lmao, laughter",meme,easy
That drop had everyone acting idk on god,That drop had everyone acting i don't know friend,idk,chat,easy
wait not all heroes wear capes some are just noob tube,"oh my goodness not all remarkable people wear capes, some simply embody easy weapon used by beginners","noob tube, gaming",meme,medium
That respawn spot is big brain time genuinely lmao,That respawn location is genuinely moment of clever thinking I swear,"big brain, intelligence",gaming,hard
This semester has been giving AFK the whole time,"This entire semester has been showing away from keyboard, not present consistently","AFK, absent",college,easy
Me trying to explain delulu to my parents bestie,"Me attempting to explain being delusional, unrealistic expectations to my parents or older relatives I promise","delulu, delusion",meme,medium
anyone else tilted by that sus movee,"Is anyone else frustrated by that suspicious, questionable decision","sus, suspicion",gaming,medium
ok so step 1: bruh. step 2: ??? step 3: profit,"not to overthink this but step one is expressing disbelief or frustration, step two is unclear, step three is profit","bruh, frustration",meme,medium
that wholee situation was peak carried,That whole situation was the peak of having teammates win it for you,"carried, assistance",chat,medium
Is it just me or is this giving flex af energy?,Is it just me or is this giving extremely show off energy?,flex af,chat,hard
real talk average GG enjoyer vs average normal person,"very much the average good game, well played person versus the average normal person","GG, acknowledgment",meme,easy
Brain: sleep. also brain: think about tbh,Brain says sleep but also tells me to think about to be honest,"tbh, honesty",meme,easy
Me: has one productive day. my brain: it's bussin bussin time,Me having one productive day and my brain saying it is absolutely excellent time,"bussin bussin, emphasis",meme,medium
That respawn spot is bussin bussin honestly ong,That respawn location is genuinely absolutely excellent and that is funny,"bussin bussin, emphasis",gaming,medium
What a time to be alive and experience yikes,What a remarkable time to be alive experiencing that's awkward or bad,"yikes, disapproval",sarcasm,medium
this sound is bussin on tiktok rn,this audio trend is excellent on the platform right now,bussin,social_media,medium
teacher: there are no wrong answers.. me: tilted,Teacher says no wrong answers and I respond with frustrated and off your game,"tilted, frustration",meme,medium
he is hot takee af lmao,He is extremely hot take without question,hot take af,chat,hard
The way this is giving op with no hesitation,The way this shows overpowered so effortlessly,"op, overpowered",social_media,medium
mainn character moment but make it go outside,Feeling like the main character but expressed through leave the internet and live life,"go outside, advice",social_media,medium
ngl frfr though that was clout chaser no debate,"truly seriously though, that was someone seeking fame or attention without any debate","clout chaser, attention",texting,medium
Nobody: absolutely nobody: me: situationship,"Everyone was silent but me, displaying undefined romantic relationship","situationship, relationship",social_media,medium
istg everything about this moment is lit af.,I swear everything about this moment is extremely exciting or amazing.,lit af,chat,hard
That comeback was so cringe honestly.,That comeback was so extremely embarrassing honestly.,so cringe,chat,hard
not to be that person but the TA was on full imho mode today,okay so the teaching assistant was in full in my humble opinion mode today,"imho, opinion",college,medium
Ah yes the classic nbd move we all expected,"Yes, the classic no big deal move we all anticipated","nbd, trivial",sarcasm,easy
Can we acknowledge how caught lackin this is,Can we acknowledge how caught off guard or unprepared this situation is,"caught lackin, unprepared",chat,medium
When the situationship hits at 3am and you can't sleep,When the undefined romantic relationship feeling hits at three in the morning and you cannot sleep,"situationship, relationship",meme,medium
Ok ttyl this is too rent free to handle,"Okay talk later, this is too constantly on your mind to process","rent free, obsession",texting,medium
not all heroes wear capes somee are just down bad,"Not all remarkable people wear capes, some simply embody desperate, in a pitiful state","down bad, desperation",meme,medium
sis wth why is everything so ate today,"come on now what the heck why is everything so performed perfectly, nailed it today","ate, performance",texting,medium
Frfr though that was no cap no debate,"Seriously though, that was honestly, not lying without any debate","no cap, honesty",texting,medium
His reaction was so snatched af I could not stop laughing.,His reaction was so extremely looking extremely good or slim I could not stop laughing.,snatched af,chat,hard
Corporate needs you to find the difference between skill issue and normal,Find the difference between the problem is your own lack of skill and normal behavior,"skill issue, criticism",meme,medium
My sleep schedule is in its hard era,"My sleep routine is in a intensely, excellently phase","hard, intensity",college,medium
bruh lowkey that whole thing was this ain't it chief,"okay so secretly, that whole thing felt like this is not good or correct","this ain't it, disapproval",chat,hard
Yes continue please this ok boomer is so helpful,"Yes please continue, this dismissing outdated or traditional thinking is so incredibly helpful","ok boomer, dismissal",sarcasm,medium
Solo q be like: full team of dead week players,"Solo queue feels like a team of final exam period, very stressful players","dead week, exams",gaming,medium
Not the stanning hitting different tonight,The intensely supporting a celebrity or artist feeling is hitting differently tonight,"stanning, fandom",social_media,medium
Why is people so salty lately?,Why is people so bitter or upset lately?,salty,chat,medium
What a surprise no one saw the ick coming,"What a complete surprise, nobody saw the sudden feeling of disgust or dislike coming","ick, disgust",sarcasm,medium
Absolutely unhinged dropping the class behavior honestly,Completely unhinged display of withdrawing from a course if I am honest,"dropping, class",social_media,hard
Our squad got absolutely touch grass moment this round no cap,Our team was completely overwhelmed this round in a a situation where someone is too online way truly,"touch grass, internet use",gaming,hard
doing a sweaty challenge run tonightt wishh me luck,"Attempting a playing very competitively challenge run tonight, wish me luck","sweaty, competitive",gaming,medium
How it started: fine. how it's going: understood the assignment,How it began was fine but now it has become did exactly what was needed,"understood the assignment, performance",meme,hard
The way the skill issue jumped out for no reason,The way the problem is your own lack of skill appeared suddenly for no apparent reason,"skill issue, criticism",meme,medium
You can't be essay cooked me about this rn,You cannot be so the essay exhausted me about this right now,"cooked, exhaustion",chat,hard
That group project was ratio + bozo and I did it alone,That group project showed complete public embarrassment and I completed it alone,"ratio, bozo, criticism",college,hard
not to be that person but that was literally understood assignment tier gameplay,okay so that was literally a did exactly what was needed tier performance,"understood assignment, performance",gaming,medium
Live footage of me being no thoughts head empty,"Live footage of me embodying not thinking about anything, relaxed","no thoughts head empty, mindless",social_media,hard
our strategy was complete exposedd but it worked,Our strategy was complete revealed doing something embarrassing but somehow worked,"exposed, revealed",gaming,medium
lowkey how do people stay this gyatt all the time?,for real though how do people stay this gyatt all the time?,gyatt,chat,medium
My study group is carrying me that's so stonks,"My study group is helping me, which shows real stocks, but often used humorously for a bad decision","stonks, irony",college,medium
College budget be like: oomfie eating habits,College finances lead to very one of my followers eating choices,"oomfie, follower",college,medium
Main character moment but make it based,"Feeling like the main character but expressed through confident, unapologetic, admirable","based, attitude",social_media,medium
Not all heroes wear capes some are just fandom lmao,"Not all remarkable people wear capes, some simply embody dedicated fan community friend","fandom, community",meme,medium
Walked into the exam and went full no thoughts simply vibes,"Entered the exam room and immediately displayed carefree, relaxed state","vibes, relaxed",college,hard
My whole situationship is simply no cap,"My entire undefined relationship is simply honestly, not lying","no cap, honesty",chat,medium
"bestie for those who dont know, this is stan","truly for those who are unfamiliar, this is dedicated fan who supports intensely","stan, fan",social_media,medium
The cafeteria was GOAT today no cap,"The cafeteria served something greatest of all time today, no exaggeration","GOAT, excellence",college,medium
He was being totally main slayer at the party ngl,He was being totally extremely main slayer at the party truly,so main slayer,chat,hard
That fit is very lit.,That outfit is very exciting or amazing.,so lit,chat,hard
Wth why is everything so bussin bussin today,What the heck why is everything so absolutely excellent today,"bussin bussin, emphasis",texting,medium
Ngl rn im fully in my oh wow very original phase,Honestly right now I am fully in my sarcastically noting something unoriginal phase,"sarcasm, originality",texting,hard
Surely this will go well being so mid and all,"Surely this will end well given all the mediocre, average, not impressive involved","mid, mediocrity",sarcasm,medium
I am feeling really W af right now.,I am feeling really extremely w right now.,W af,chat,hard
He's being so big yikes today it's unreal,He is behaving in an extremely that's very awkward or bad way today,"big yikes, disapproval",chat,hard
y'all i can not believe how vibee that turned out.,oh my goodness i can not believe how extremely atmosphere or feeling that turned out.,so vibe,chat,hard
My study group is carrying me that's so ate and left no crumbs,"My study group is helping me, which shows real performed flawlessly","ate, perfection",college,hard
me: has one productive day. my brain: its smooth brain time on god,Me having one productive day and my brain saying it is not very intelligent thinking time and that is funny,"smooth brain, unintelligent",meme,medium
Our squad got absolutely on god this round,"Our team was completely overwhelmed this round in a I swear, seriously way","on god, oath",gaming,medium
Teacher: there are no wrong answers. me: parasocial relationship,Teacher says no wrong answers and I respond with one-sided emotional attachment,"parasocial, relationship",meme,hard
y'all wyd? lowkey feelingg brainrot rn,I swear what are you doing? I am secretly feeling mind absorbed in internet content right now,"brainrot, obsession",texting,medium
What a surprise no one saw the ily coming,"What a complete surprise, nobody saw the I love you coming","ily, affection",sarcasm,easy
Surely this will go well being very mid and all,"Surely this will end well given all the mediocre, average, not impressive involved","mid, mediocrity",sarcasm,medium
wait not all heroes wear capes some are just ate,"hey not all remarkable people wear capes, some simply embody performed perfectly, nailed it","ate, performance",meme,medium
Bestie said shifting and left the chat periodt,My best friend said it plainly and ended the conversation truly,"shifting, escapism",chat,medium
Is it simply me or is this giving highkey mood energy?,Is it simply me or is this giving openly and obviously energy?,highkey mood,chat,medium
Main character moment but make it gg,"Feeling like the main character but expressed through good game, well done","gg, acknowledgment",social_media,easy
Pov: you simply experienced deadd week energy,"From my perspective, that energy was final exam period, very stressful","dead week, exams",social_media,medium
Oh absolutely love how pressed this all is fr,"I absolutely love how bothered, upset about something all of this is I swear","pressed, upset",sarcasm,medium
"Wait, was that not completely thirsty?","Wait, was that not completely extremely thirsty?",so thirsty,chat,hard
Me: has one productive day. my brain: it's lowkey time,"Me having one productive day and my brain saying it is secretly, kind of, quietly time","lowkey, subtle",meme,medium
pov: you just experienced cringe energyy,"From my perspective, that energy was embarrassing, awkward behavior","cringe, embarrassment",social_media,medium
Wait is that not locked in?,"Wait, is that not considered fully focused and concentrated?","locked in, focus",chat,medium
Is it just me or is this giving based take af energy?,Is it just me or is this giving extremely based take energy?,based take af,chat,hard
Wow who could have predicted this rizz outcome,"Who could have possibly predicted this charisma, charm, ability to attract outcome","rizz, charisma",sarcasm,medium
Is it just me or is this giving she cooked energy?,Is it just me or is this giving in serious trouble energy?,she cooked,chat,medium
The way she handled that was nah af.,The way she handled that was extremely no.,nah af,chat,hard
Is it simply me or is thiss giving down bad energy ngl,Is it simply me or is this giving desperate energy? friend,down bad,chat,medium
Omw and already feeling camping istg,On my way and already feeling staying in one spot to ambush without question,"camping, strategy",texting,medium
The way this is giving villain era with no hesitation,"The way this shows acting selfishly, prioritizing yourself so effortlessly","villain era, attitude",social_media,hard
"For those who don't know, this is understood the assignment","For those who are unfamiliar, this is did exactly what was needed","understood the assignment, performance",social_media,hard
Surely this will go well beingg very gg wp and all,"Surely this will end well given all the good game, well played involved","gg wp, acknowledgment",sarcasm,medium
Smh the situation is very big w,"I am disappointed, the situation is very major win or achievement","big W, victory",texting,hard
That whole situation was pure high effort.,That whole situation was pure extremely high effort.,so high effort,chat,hard
highkey when the triggered hits at 3am and you can't sleep,oh my goodness when the emotionally provoked feeling hits at three in the morning and you cannot sleep,"triggered, emotion",meme,medium
He's being so cap today it's unreal,"He is behaving in an extremely lie, untrue statement way today","cap, dishonesty",chat,medium
That lecture was op i learned nothing,That lecture was so overpowered I gained nothing from it,"op, overpowered",college,medium
What a time to be alive and experience touch grass istg,"What a remarkable time to be alive experiencing go outside, spend less time online not going to lie","touch grass, advice",sarcasm,medium
brain: sleep. also brain:: thinkk aboutt ick,Brain says sleep but also tells me to think about sudden feeling of disgust or dislike,"ick, disgust",meme,medium
Surely this will go well being very campus drip and all,Surely this will end well given all the stylish campus outfits involved,"drip, fashion",sarcasm,medium
omg absolutely unhinged ratio + L + no cap behavior honestly,quite openly completely unhinged display of multiple criticisms at once if I am honest,"ratio, L, no cap, criticism",social_media,hard
Teacher: there are no wrong answers. me: vibe,"Teacher says no wrong answers and I respond with atmosphere, feeling, energy","vibe, atmosphere",meme,medium
Smh the situation is so big W,"I am disappointed, the situation is so major win or achievement","big W, victory",texting,hard
The pipeline from normal to lowkey mid is short,The path from normal behavior to slightly below average is surprisingly short,"mid, mediocrity",meme,medium
real talk my study group is carrying me that's so IRL speedrun,"okay so my study group is helping me, which shows real doing something extremely fast in real life","speedrun, speed",college,medium
They were being very side eye about thiss whole thing.,They were being very side eye about this whole thing.,side eye,chat,medium
"Society: be normal. me, built different: big yikes","Society says act normally and I, being different, display that's very awkward or bad","big yikes, disapproval",meme,hard
I can not believe how he cooked that turned out.,I can not believe how in serious trouble that turned out.,he cooked,chat,medium
This lobby is built different it's giving brb,"This lobby is different, it is displaying be right back","brb, temporary absence",gaming,easy
Ok very teacher: there are no wrong answers. me: clowned,I swear teacher says no wrong answers and I respond with made a fool of oneself,"clowned, embarrassment",meme,medium
That is giving W energy on god,That is giving a very specific W feeling I swear,W,chat,medium
The whole comment section was delusional arc about this ong,The whole comment section was extremely going through an unrealistic phase about this honestly,so delusional arc,chat,hard
"Wait, was that not completely they cooked?","Wait, was that not completely extremely they cooked?",so they cooked,chat,hard
Nobody: not a single soul: me in my trash arc:,"No one, not a single person, just me in my bad quality phase","trash, poor quality",meme,medium
She posted that and the energy was main slayer ngl,She posted that and the energy was main slayer and that is funny,main slayer,chat,medium
My study group is carrying me that's very virgin vs chad,"My study group is helping me, which shows real weak person versus confident person","virgin, chad, comparison",college,hard
"y'all this is fine (its not, its caught in 4k)",hey everything is fine but actually it is caught doing something with clear evidence,"caught in 4K, exposed",meme,hard
Not me being study grind about this,I find myself being very working hard studying about all this,"grind, studying",chat,medium
bruh that whole situation was peak sending me,okay so that whole situation was the peak of making me laugh extremely hard,"sending me, laughter",chat,medium
Pulled an all-nighter and now i am salty,"Stayed up all night and now I am experiencing bitter, upset, frustrated","salty, emotion",college,medium
Is it simply me or is this giving npc energy?,Is it simply me or is this giving someone acting without personality energy?,npc,chat,medium
lowkey our squad got absolutely I'm dead this round,truly our team was completely overwhelmed this round in a I'm laughing so hard way,"dead, laughter",gaming,medium
Our squad got absolutely lit this round,"Our team was completely overwhelmed this round in a exciting, amazing, awesome way","lit, excitement",gaming,medium
He's being so IRL speedrun today it's unreal,He is behaving in an extremely doing something extremely fast in real life way today,"speedrun, speed",chat,medium
Brain: sleep. also brain: think about ick ong,Brain says sleep but also tells me to think about sudden feeling of disgust or dislike I promise,"ick, disgust",meme,medium
That person has slay today.,That person has do something excellently energy today.,slay,chat,medium
Genuinely how do you simply wake up and choose malding,"I swear how do you wake up and choose to be mad and balding, extremely frustrated","malding, frustration",chat,medium
Campus at 2am giving fit energy,"The campus at two in the morning has real outfit, clothing energy","fit, outfit",college,medium
He went full lowkey energy mode during the match.,He went full somewhat secretly mode during the match.,lowkey energy,chat,medium
He is understood assignment af.,He is extremely knew exactly what to do.,understood assignment af,chat,hard
I can not believe how ghosted that turned out periodt,I can not believe how extremely stopped responding completely that turned out friend,so ghosted,chat,hard
she literally saidd parasocial and walked away,She literally said it with one-sided emotional connection to a celebrity and left,"parasocial, connection",chat,medium
Teacher: there are no wrong answers. me: moots,Teacher says no wrong answers and I respond with mutual followers,"moots, mutuals",meme,medium
Plot twist: it was all-nighter all along,Unexpected reveal: it was staying up all night studying the entire time,"all-nighter, studying",social_media,medium
ok so ily but that take was ok boomer,come on now i care about you but that opinion showed dismissing outdated or traditional thinking,"ok boomer, dismissal",texting,medium
Thank you so much for that bricked contribution,"Thank you so much for that wonderful contribution of broken, not working","bricked, broken",sarcasm,medium
The enemy team is playing professor cooked as usual,The opposing team is demonstrating the professor was excellent as usual,"cooked, excellence",gaming,medium
Not all heroes wear capes some are simply cap,"Not all remarkable people wear capes, some simply embody lie, untrue statement","cap, dishonesty",meme,medium
The TA was on full this ain't it chief mode today,The teaching assistant was in full this is not good or correct mode today,"this ain't it, disapproval",college,hard
They were being so iykyk about this whole thing.,They were being so if you know you know about this whole thing.,iykyk,chat,medium
That person has slay today on god,That person has do something excellently energy today honestly,slay,chat,medium
He pulled a cooked fr clutch at the last second,He performed a completely done for move at the last second,"cooked, fr, trouble",gaming,medium
Lmk if you see any ong energy irl,"Let me know if you notice any on God, I swear energy in real life","ong, oath",texting,medium
how incredibly rent free of them im shocked,"How incredibly constantly on your mind of them, I am genuinely shocked","rent free, obsession",sarcasm,medium
Bro that sus ngl was actually wild,"Honestly that suspicious, not gonna lie was really surprising","sus, ngl, suspicion",chat,medium
Brb gonna go process this I'm dead moment,"I will be right back, I need to process this I'm laughing so hard moment","dead, laughter",texting,medium
"That fit was actually ratio af, no cap.","That outfit was actually extremely getting more replies than likes, no lies.",ratio af,chat,hard
That whole situation was pure they cooked.,That whole situation was pure extremely they cooked.,so they cooked,chat,hard
Not me acting all ate af at the worst time.,Not me acting all extremely ate at the worst time.,ate af,chat,hard
Hmu when you're done being manifestation ok,Contact me when you are done experiencing believing you can attract what you want,"manifestation, belief",texting,medium
That whole situation was peak mid,"That whole situation was the peak of mediocre, average, not impressive","mid, mediocrity",chat,medium
Ok very ah yes the classic we do a little trolling move we all expected,"Hold on yes, the classic playful or mischievous behavior move we all anticipated","trolling, humor",sarcasm,hard
bro not me being GG about this,"quite openly i find myself being very good game, well played about all this","GG, acknowledgment",chat,easy
Our squad got absolutely I'm dead this round,Our team was completely overwhelmed this round in a I'm laughing so hard way,"dead, laughter",gaming,medium
Jk but also not jk because it's GG,"I am joking but also not joking because it is good game, well played","GG, acknowledgment",texting,easy
dead ass bro that cooked was actually wild,honestly honestly that in serious trouble was really surprising,"cooked, trouble",chat,medium
hot take: everyone is lowkey campuss drip,Unpopular opinion: everyone is somewhat experiencing stylish campus outfits,"drip, fashion",social_media,medium
that's actually a based hot take,that is genuinely a confident and controversial opinion,"based, hot take",social_media,hard
College budget be like: griefer eating habits,College finances lead to very player who ruins others' experience eating choices,"griefer, disruptor",college,medium
The syllabus is giving fam real quick,"The course outline is displaying close friends, family-like people very early on","fam, friendship",college,medium
