slang_term,meaning,slang_sentence,normal_sentence,source
Dance Trend,popular dance,Everyone at school is doing that new Dance Trend.,Everyone at school is doing that new popular dance.,grok
B2W,back to work,"Coffee break over, time to B2W before the boss notices.","Coffee break over, time to get back to work before the boss notices.",grok
Deep Cut,strong emotional hit,That song is a Deep Cut for me every single time.,That song hits me hard emotionally every single time.,grok
Think Big,be ambitious,If you want to grow the business you gotta Think Big.,If you want to grow the business you have to be ambitious.,grok
VoIP,internet phone calls,We'll hop on VoIP for the client call at three.,We'll use internet calling for the client call at three.,grok
Ice Cold,very calm,He stayed Ice Cold even when they started yelling.,He stayed totally calm even when they started yelling.,grok
so goated,incredibly good,Late night pizza after the concert is so goated.,Late night pizza after the concert is the absolute best.,grok
Camp,ironically trendy,Those plastic platform boots are pure Camp and I'm here for it.,Those plastic platform boots are so ironically trendy and I love them.,grok
Clout Token,attention grab,Dropping that name-drop was just a Clout Token for the cameras.,Dropping that name-drop was just a way to grab attention for the cameras.,grok
SM,social media,I saw the whole drama blow up on SM last night.,I saw the whole drama blow up on social media last night.,grok
TD2M,talk dirty to me,She hit me with TD2M out of nowhere in the group chat.,She hit me with 'talk dirty to me' out of nowhere in the group chat.,grok
RMMM,read my mail,"RMMM when you get free, I sent the details earlier.","Read my mail when you get free, I sent the details earlier.",grok
MU,miss you,"MU so much already, text me when you're free.","Miss you so much already, text me when you're free.",grok
AWESO,awesome,Your outfit today is totally AWESO.,Your outfit today is totally awesome.,grok
Work From Home,remote work,Fridays I get to Work From Home and it's the best.,Fridays I get to work remotely and it's the best.,grok
2G2BT,too good to be true,Free concert tickets for the whole crew? Sounds 2G2BT.,Free concert tickets for the whole crew? Sounds too good to be true.,grok
TY,thank you,TY for grabbing me coffee this morning.,Thank you for grabbing me coffee this morning.,grok
LOLH,laughing hysterically,That story had me LOLH at my desk.,That story had me laughing hysterically at my desk.,grok
TYT,take your time,"No stress, TYT finishing that email.","No stress, take your time finishing that email.",grok
Instant Click,immediate connection,We had Instant Click the moment we started talking.,We hit it off right away the moment we started talking.,grok
Nap Queen,loves naps,"She's the Nap Queen, always disappearing for a power nap.","She's the nap expert, always disappearing for a power nap.",grok
IK,I know,"IK you already told me twice, I just forgot.","I know you already told me twice, I just forgot.",grok
QTPI,cutie pie,"Stop, you're such a QTPI in that hoodie.","Stop, you look like such a cutie pie in that hoodie.",grok
PWN,dominate,We totally PWNED that other squad last night.,We totally dominated that other squad last night.,grok
WBU,what about you,"I'm grabbing pizza later, WBU?","I'm grabbing pizza later, what about you?",grok
TFTT,thanks for the tweet,"TFTT, that tip saved me so much time.","Thanks for this tweet, that tip saved me so much time.",grok
Tag Me,mention me,Tag Me when you post the group pic!,Mention me when you post the group pic!,grok
DITYID,did I say I'm stressed,DITYID already? This week is killing me.,Did I tell you I'm distressed already? This week is killing me.,grok
Boosted,algorithm push,My reel got Boosted overnight and blew up.,My reel got a big algorithm push overnight and blew up.,grok
WAH,working from home,I'm WAH all week so hit me on Slack anytime.,I'm working from home all week so hit me on Slack anytime.,grok
HP,hit points,"Bro my HP is almost gone, cover me!","Bro my health is almost gone, cover me!",grok
RW,real world,Gonna log off and deal with RW stuff for a bit.,Gonna log off and deal with real-world stuff for a bit.,grok
PFT,really awesome,"That new gaming chair is PFT, not even kidding.","That new gaming chair is really awesome, not even kidding.",grok
YR,your,Is YR phone still on the kitchen counter?,Is your phone still on the kitchen counter?,grok
PUG,pickup group,"Need one more for the PUG, anyone free?","Need one more for the pickup group, anyone free?",grok
Mind Melt,total confusion,That ending was a complete Mind Melt for me.,That ending left me completely confused.,grok
VC,voice chat,Jump in VC real quick so we can plan this.,Jump into voice chat real quick so we can plan this.,grok
GOI,get over it,"It's been a week already, just GOI.","It's been a week already, just get over it.",grok
Hard Truth,harsh reality,Hard Truth: we might not make the launch date.,Harsh reality: we might not make the launch date.,grok
Mood,relatable vibe,Scrolling on the couch all day is pure Mood.,Scrolling on the couch all day is totally me right now.,grok
Camping,staying hidden,Quit Camping in that corner and fight fair.,Quit staying hidden in that corner and fight fair.,grok
IYSS,if you say so,"Fine, IYSS, but I still think it's a bad idea.","Fine, if you say so, but I still think it's a bad idea.",grok
Red Flag,warning sign,Him lying about that job is a huge Red Flag.,Him lying about that job is a huge warning sign.,grok
Inspoo,inspiration,Scrolling for Inspoo before I start drawing.,Scrolling for inspiration before I start drawing.,grok
Drive Mode,deep focus,I'm in Drive Mode until this paper is done.,I'm locked in deep focus until this paper is done.,grok
Moving Fast,acting quickly,"They're Moving Fast on the redesign, no time to wait.","They're acting quickly on the redesign, no time to wait.",grok
Inner Child,younger self,Gotta feed my Inner Child and get some ice cream after work.,I need to treat my younger self and grab ice cream after work.,grok
Glitch in Matrix,weird event,Seeing my neighbor twice in two places felt like a Glitch in Matrix.,Running into my neighbor twice in different spots felt super weird.,grok
RUT,are you there,RUT? Need you to check this file real quick.,Are you there? Can you look at this file for a second?,grok
IDUNNO,I don’t know,IDUNNO if I should go out or just stay home tonight.,I don't know whether to head out or just stay home tonight.,grok
KEWL,cool,Those new sneakers look KEWL on you for real.,Those new sneakers look really cool on you.,grok
WK,week,This WK has been packed with meetings and deadlines.,This week has been full of meetings and deadlines.,grok
Digital Nomad,remote traveler,She's living the Digital Nomad life working from cafes abroad.,She's living as a remote traveler working from cafes overseas.,grok
High Spirits,happy mood,Everyone's in High Spirits after we won the game.,Everyone's in a great mood after we won the game.,grok
DUPE,duplicate,I snagged a cheap DUPE of that designer jacket.,I grabbed an affordable copy of that designer jacket.,grok
OTB,off to bed,"I'm OTB after this episode, talk in the morning.","I'm heading to bed after this episode, talk in the morning.",grok
Reaction Video,response content,His Reaction Video to the finale had me dying laughing.,His video responding to the finale had me laughing hard.,grok
Daily Grind,everyday work,Back to the Daily Grind after that nice long weekend.,Back to regular work after that nice long weekend.,grok
"This ain’t it, chief",disapproval,"That idea is messy, This ain’t it, chief.","That idea is a mess, that's not the right way.",grok
DFL,dead last,I finished DFL in the ranking and felt so crushed.,I finished dead last in the ranking and felt crushed.,grok
Overdrive,too much effort,My brain went into Overdrive finishing that report last night.,My mind worked way too hard finishing that report last night.,grok
Core Memory Unlocked,remembered moment,Hearing that old song was a Core Memory Unlocked instantly.,Hearing that old song brought back a vivid childhood memory.,grok
Money Moves,smart spending,She's making Money Moves by saving for that house.,She's making smart choices by saving up for that house.,grok
Top Tier,very good,Their customer service is Top Tier every single time.,Their customer service is excellent every single time.,grok
RYS,read your screen,"RYS, I dropped the address in the chat already.","Look at your screen, I already sent the address in chat.",grok
L4L,like for like,Can we do L4L on our new posts real quick?,Can we like each other's new posts real quick?,grok
Come Back Strong,return better,After this injury I'm gonna Come Back Strong next season.,After this injury I'll return even better next season.,grok
Stay Present,focus now,Try to Stay Present and enjoy the trip instead of stressing.,Try to focus on now and enjoy the trip instead of stressing.,grok
Social Battery,energy for people,My Social Battery is completely empty after that long hangout.,I'm totally out of energy for people after that long hangout.,grok
WTFO,what the freak,"WTFO happened to my order, it's completely wrong.","What the heck happened to my order, it's all wrong.",grok
NT,nice try,NT on that bluff but I saw right through it.,Nice try with that bluff but I saw right through it.,grok
Lost Media,missing content,That old pilot episode is pure lost media at this point.,That old pilot episode has completely vanished and nobody can find it.,grok
CNP,continued in next post,"The whole situation got messier than I thought, CNP.","The whole situation got messier than I thought, more in the next post.",grok
LY,love ya,Gotta run but LY and text me later.,Gotta run but love you and text me later.,grok
MUSM,miss you so much,"Haven't seen you in weeks, MUSM for real.","Haven't seen you in weeks, miss you so much for real.",grok
VRY,very,That playlist was vry solid last night.,That playlist was very solid last night.,grok
New Wave,fresh trend,Everyone's hopping on this new wave of thrift flips.,Everyone's hopping on this fresh trend of thrift flips.,grok
NGL,not gonna lie,NGL the sequel was better than the first one.,Not gonna lie the sequel was better than the first one.,grok
OOMF,one of my followers,OOMF just dropped the pettiest story of the year.,One of my followers just dropped the pettiest story of the year.,grok
TARFU,things are really fouled up,The group chat is TARFU after that argument.,The group chat is completely wrecked after that argument.,grok
so fire,very passionate,She's so fire about launching her own podcast.,She's really passionate about launching her own podcast.,grok
FU,freak you,He ghosted again so I just said FU and blocked him.,He ghosted again so I just said screw you and blocked him.,grok
Low-Key,subtly or secretly,I'm low-key hoping they cancel the meeting tomorrow.,I'm quietly hoping they cancel the meeting tomorrow.,grok
GF,girlfriend,My GF and I are finally doing a weekend trip.,My girlfriend and I are finally doing a weekend trip.,grok
AFJ,April Fool’s joke,That whole announcement turned out to be an AFJ.,That whole announcement turned out to be an April Fool's joke.,grok
OP,on phone,Hold up I'm OP with my mom right now.,Hold up I'm on the phone with my mom right now.,grok
Top Speed,maximum effort,I've been going top speed on this paper all week.,I've been putting in maximum effort on this paper all week.,grok
mega zone,awkward share session,We somehow ended up in the mega zone comparing weird collections.,We somehow ended up in that awkward place sharing weird collections.,grok
DTS,don't think so,They said the tickets are free but DTS.,They said the tickets are free but I don't think so.,grok
Hybrid Work,office and home,Starting next month we're all on hybrid work.,Starting next month we're mixing office and home days.,grok
BIF,before I forget,BIF can you send me that link from earlier?,Before I forget can you send me that link from earlier?,grok
SH,same here,"I'm starving right now, SH.","I'm starving right now, same here.",grok
NC,nice crib,"Walked in and immediately said NC, this place is clean.","Walked in and immediately said nice place, this spot is clean.",grok
Time Window,limited chance,We've only got a tiny time window to grab those seats.,We've only got a short limited chance to grab those seats.,grok
Offline Mode,disconnected state,I'm switching to offline mode until the weekend is over.,I'm going fully disconnected until the weekend is over.,grok
B2B,business-to-business,This new app is built for pure B2B sales.,This new app is built for pure business-to-business sales.,grok
Boy Math,justifying bad logic,He spent his whole paycheck on a gaming setup and swore it was boy math.,He spent his whole paycheck on a gaming setup and somehow made it sound smart.,grok
Upward Spiral,life improving,"I've been meal prepping and journaling, full upward spiral mode.","I've been meal prepping and journaling, my life is really turning around.",grok
FAY,screw all of you,They kept talking trash so I hit them with FAY and blocked the whole chat.,They kept talking trash so I told them all to get lost and blocked the chat.,grok
U2,you too,Have a chill night! U2!,Have a chill night! You too!,grok
420,let's get high,"Class is over, who wants to do 420 at the park?","Class is over, who wants to smoke at the park?",grok
big move,too much effort,Walking to the store in this heat is a big move for me right now.,Walking to the store in this heat feels like way too much effort right now.,grok
UKTR,you know that's right,"That burger slapped hard, UKTR.","That burger was incredible, you know that's right.",grok
Sleeping on,underestimating,"You're sleeping on this playlist, it's actually crazy good.","You're really overlooking this playlist, it's actually crazy good.",grok
Hype Train,growing excitement,The whole timeline hopped on the hype train for her album drop.,Everyone online got really excited for her album drop.,grok
YTB,you're the best,"You fixed my laptop in ten minutes, YTB for real.","You fixed my laptop in ten minutes, you're the best for real.",grok
Investing Era,finance focus phase,I'm deep in my investing era so every extra dollar goes into the market.,I'm really focused on my finances so every extra dollar goes into the market.,grok
WGACA,what do you think,"Thinking of cutting bangs tonight, WGACA?","Thinking of cutting bangs tonight, what do you think?",grok
so sigma,brainrot cool,"He just walked out mid-argument without a word, so sigma.","He just walked out mid-argument without a word, that was wild.",grok
TBL,text back later,"Driving rn, TBL when I park.","I'm driving right now, I'll text you back when I park.",grok
CUMID,see you in dreams,"I'm out for the night, CUMID.","I'm out for the night, see you in my dreams.",grok
Fold,give up,I tried arguing for an hour but finally had to fold.,I tried arguing for an hour but finally had to give up.,grok
Hype,intense excitement,The hype for the festival is already out of control.,The excitement for the festival is already out of control.,grok
Zero Chill,very excited,She's got zero chill about the surprise party tomorrow.,She's super hyped about the surprise party tomorrow.,grok
VNH,very nice hand,I looked down at a VNH and knew I was taking the pot.,I looked down at a really strong hand and knew I was taking the pot.,grok
LNT,lost in translation,My joke completely LNT with that group.,My joke completely got lost in translation with that group.,grok
NFWS,not safe for work,"Don't click that on your work laptop, it's NFWS.","Don't click that on your work laptop, it's not safe for work.",grok
Catch these hands,threaten a fight,Keep talking mess and you're gonna catch these hands.,Keep talking mess and we're gonna fight.,grok
Salty,feeling jealous,He's been salty all week since I got the better job offer.,He's been jealous all week since I got the better job offer.,grok
Outta Pocket,went too far,Bringing up her ex at dinner was straight outta pocket.,Bringing up her ex at dinner went way too far.,grok
SHIP,want them together,"I ship those two coworkers so hard, they already act like a couple.","I really want those two coworkers to get together, they already act like a couple.",grok
DGTG,drop that topic,"DGTG, I already told you I don't want to rehash the breakup.","Don't bring that up, I already said I don't want to talk about the breakup again.",grok
Brain Storm,throw out ideas,Can we brain storm titles for the presentation real quick?,Can we quickly come up with some titles for the presentation?,grok
LHM,give me strength,"LHM, my little brother just spilled juice all over the couch again.","Lord help me, my little brother just spilled juice on the couch again.",grok
CRBT,sobbing hard,I was CRBT when they canceled the series finale like that.,I was crying so hard when they canceled the series finale like that.,grok
RTFQ,read it properly,"RTFQ before you submit, half the class got the answer wrong.","Actually read the question before you submit, half the class got it wrong.",grok
Cray,wild or nuts,The traffic after the game was completely cray.,The traffic after the game was completely crazy.,grok
Last Minute,rushed and late,Of course he sent the invite last minute and expected everyone free.,Of course he sent the invite at the last second and expected everyone free.,grok
bussin af,seriously amazing,"That new taco place down the block is bussin af, we gotta go.","That new taco place down the block is seriously amazing, we have to go.",grok
OHHEMMGEE,oh my god,OHHEMMGEE she actually showed up with the same dress.,Oh my god she actually showed up wearing the same dress.,grok
Stable Build,final release version,They finally pushed the stable build so the game shouldn't crash anymore.,They finally released the finished version so the game shouldn't crash anymore.,grok
Lit,really fun,The rooftop hang last night was so lit we stayed till three.,The rooftop hang last night was so fun we stayed till three.,grok
Hard Cancel,total rejection,She hard canceled the whole trip after he showed up late again.,She completely called off the whole trip after he showed up late again.,grok
YW,no problem,"YW, just text me if you need the notes again.","You're welcome, just text me if you need the notes again.",grok
so ate,rambling forever,He so ate for fifteen minutes about his commute and nobody asked.,He went on and on for fifteen minutes about his commute and nobody asked.,grok
SUYF,be quiet fool,"SUYF, you clearly didn't even watch the same show.","Shut up you fool, you clearly didn't even watch the same show.",grok
Glow up,major transformation,He had a serious glow up over break and nobody recognized him.,He completely transformed over break and nobody recognized him.,grok
Do Better,raise your standards,"You ghosted her for a week, do better next time.","You ignored her for a week, handle that better next time.",grok
WL,total loser,"Bro forgot his own keys and then blamed me, what a WL.","He forgot his own keys and then blamed me, what a loser.",grok
Sksksk,excited giggle,Sksksk I can't believe we both showed up in the same jacket.,Haha I can't believe we both showed up in the same jacket.,grok
2EZ,way too simple,That whole boss fight was 2EZ once we figured the pattern.,That whole boss fight was way too easy once we figured the pattern.,grok
Feelsbadman,that stings,"Feelsbadman, I studied the wrong chapter for the quiz.","That sucks, I studied the wrong chapter for the quiz.",grok
JTLYK,heads up,JTLYK the professor moved the deadline up to Friday.,Just so you know the professor moved the deadline up to Friday.,grok
Situationship,undefined romance,We're stuck in this situationship and neither of us will define it.,We're stuck in this undefined thing and neither of us will call it dating.,grok
SLAP,works for me,Meet at seven by the cafe? SLAP.,Meet at seven by the cafe? Sounds like a plan.,grok
Healing Era,self-care season,I'm in my healing era so I'm skipping every messy party this month.,I'm focusing on myself so I'm skipping every messy party this month.,grok
Comfort Food,favorite comforting meal,Nothing beats some comfort food after a brutal shift.,Nothing beats my favorite meal after a brutal shift.,grok
Based,unapologetically agreed with,That take on the new policy is straight up based.,That take on the new policy is completely right and bold.,grok
G2GICYAL8ER,got to go see you later,My ride's here so G2GICYAL8ER!,"My ride's here so I have to leave, see you later!",grok
PISS,put in some sugar,Can you PISS my iced tea before you bring it over?,Can you put some sugar in my iced tea before you bring it over?,grok
frfr,seriously for real,I need sleep frfr or I'm gonna crash.,I seriously need sleep or I'm gonna crash.,grok
NANA,not now no need,Want me to fix that for you? NANA I got it.,"Want me to fix that for you? No need, I got it.",grok
LMMFAO,laughing really hard,His fall had me LMMFAO in the hallway.,His fall had me laughing so hard in the hallway.,grok
Street Cred,earned respect,Pulling that off just boosted his street cred big time.,Pulling that off just boosted his respect big time.,grok
Grind,work hard,Still on the grind so I can finally move out.,Still working hard so I can finally move out.,grok
Under Control,managed well,"Relax, the whole kitchen is under control.","Relax, the whole kitchen is completely handled.",grok
KPC,keeping parents clueless,We stayed KPC so no one found out about the party.,We kept the parents clueless so no one found out about the party.,grok
Throwback,old memory,This playlist is pure throwback to senior year.,This playlist really brings back senior year memories.,grok
fire af,super sexy,"Her new haircut is fire af, not gonna lie.","Her new haircut looks super sexy, not gonna lie.",grok
KSC,kind of a chuckle,The joke only earned a KSC from the crowd.,The joke only got a mild chuckle from the crowd.,grok
Breadcrumbing,leading someone on,He's clearly breadcrumbing her with those late-night texts.,He's clearly leading her on with those late-night texts.,grok
Cancel,publicly reject,They tried to cancel her after one bad interview.,They tried to publicly reject her after one bad interview.,grok
AFK,away from keyboard,"Going AFK for dinner, be back in twenty.","Stepping away from the computer for dinner, be back in twenty.",grok
Reset Button,start over,"This plan flopped, time to hit the reset button.","This plan flopped, time to start completely over.",grok
SMEXI,sexy Mexican,Everyone at the bar was staring at that SMEXI guy.,Everyone at the bar was staring at that sexy Mexican guy.,grok
ILBL8,I'll be late,Bus broke down so ILBL8 to the meetup.,Bus broke down so I'll be late to the meetup.,grok
Full Send,go all in,"No more waiting around, full send on the application.","No more waiting around, just go all in on the application.",grok
IMHO,in my opinion,IMHO the sequel was way better than the original.,In my opinion the sequel was way better than the original.,grok
Extra Credit,bonus effort,I put in some extra credit hours to impress the boss.,I put in some bonus effort hours to impress the boss.,grok
CRS,can't remember stuff,"Sorry, full CRS mode today, what's the plan again?","Sorry, I can't remember anything today, what's the plan again?",grok
HAND,have a nice day,"Gotta bounce, HAND!","Gotta bounce, have a nice day!",grok
Power Up,gain strength,Gotta power up with a big breakfast before practice.,I need to fuel up with a big breakfast before practice.,grok
aura farming,doing random stuff for cool points,He's aura farming by walking into class with his headphones on like he's the main character.,He's just trying to look cooler by strutting into class with headphones like he owns the place.,grok
Final Call,last chance,"Final call on who wants pizza, I'm ordering in five.","Last chance if anyone wants pizza, I'm placing the order in five minutes.",grok
Hero Arc,good phase,"She's deep in her hero arc, nailing every interview and still finding time to help us.","She's in a really strong stretch, crushing every interview and still helping us out.",grok
HW,homework,"Can't go out, still buried in HW for chem.","I can't go out, I'm still stuck on chemistry homework.",grok
VM,voicemail,"Left you a VM earlier, hit me back when you can.","I left you a voicemail earlier, call me when you're free.",grok
Z%,zoo,"Weather's perfect, we should hit the Z% after lunch.","The weather's perfect, we should go to the zoo after lunch.",grok
Spill the Tea,share the gossip,"Okay sit down and spill the tea, what actually went down last night?","Okay sit down and tell me everything, what really happened last night?",grok
WRUD,what are you doing,WRUD right now? I'm bored out of my mind.,What are you doing right now? I'm completely bored.,grok
so pressed,stressed and depressed,"I'm so pressed after three exams and no sleep, I can't even think straight.","I'm completely overwhelmed after three exams and no sleep, I can't even think.",grok
Birth Chart,astrology map,I checked her birth chart and now everything makes sense.,I looked at her astrology chart and suddenly everything lines up.,grok
Corecore,absurd meme style,"That edit is pure corecore, just random clips over sad music.","That edit is classic chaotic meme style, just random clips over sad music.",grok
Main Plot,important story,"Forget the side drama, stick to the main plot of finishing the presentation.",Ignore the little side issues and stay focused on finishing the presentation.,grok
Snack Plate,small foods,"I'm making a snack plate with fruit, cheese, and crackers for the study sesh.","I'm putting together a little plate of fruit, cheese, and crackers for study time.",grok
WRK,work,"Just got off WRK and I'm wiped, text you later.","Just finished work and I'm exhausted, I'll text you later.",grok
2B,to be,This weekend is gonna 2B lit if the weather holds.,This weekend is going to be amazing if the weather stays good.,grok
Resonate,deeply connects,Her lyrics really resonate with me after everything that happened.,Her lyrics really hit home for me after everything that went down.,grok
Turn Up,increase energy,The DJ finally turned up and the whole floor started moving.,The DJ finally brought the energy and everyone on the floor started dancing.,grok
B4,before,Text me B4 you head out so I know when to leave.,Text me before you leave so I know when to head out.,grok
TSTB,the sooner the better,"Send me those notes TSTB, I need them for the quiz.","Send me those notes as soon as you can, I need them for the quiz.",grok
Bloke,Discord,"Jump on Bloke quick, we're starting the call in two minutes.","Hop on Discord real quick, we're starting the call in two minutes.",grok
bro,coolest storyteller,"You know bro always has the best stories from his trips, make him tell the one about the train.","You know he's the best storyteller with his travel stories, get him to tell the train one.",grok
Full Focus,total attention,I need full focus for the next hour so leave me alone.,I need complete concentration for the next hour so please leave me alone.,grok
EF4T,effort,That whole routine took serious EF4T but it looked clean.,That whole routine took real effort but it looked polished.,grok
DNR,dinner,"What are we doing for DNR, I'm starving already.","What are we having for dinner, I'm already starving.",grok
LSHMBH,laughing super hard,That roast had me LSHMBH for real.,That roast had me laughing so hard my stomach hurt.,grok
Nostalgia Core,that past feeling,This old cartoon is pure nostalgia core for me.,This old cartoon really brings back those childhood vibes.,grok
SICNR,sorry I couldn't help it,"I posted the meme anyway, SICNR.","I posted the meme anyway, sorry I couldn't resist.",grok
QL,stop laughing,"Okay enough, QL before I lose it too.","Okay enough, quit laughing before I crack up too.",grok
182,I hate you,"You ate the last slice, 182.","You ate the last slice, I hate you.",grok
Clear Path,the easy way,I just took the clear path and skipped the drama.,I just took the easy way and skipped the drama.,grok
Drop Off,fade away slowly,He started to drop off once the conversation got quiet.,He started to disappear once the conversation got quiet.,grok
Key Moment,important point,That talk was a key moment for us both.,That talk was a really important point for us both.,grok
Skill Tree,ways to level up,I'm branching out my skill tree with cooking classes.,I'm opening up more ways to improve by taking cooking classes.,grok
ALOL,really laughing out loud,ALOL I can't even with this video.,I'm actually laughing out loud at this video.,grok
yikes,oh no reaction,"Yikes, that meeting went totally sideways.","Oh no, that meeting went completely off the rails.",grok
Soft Launching,hinting at something,She's soft launching the new project on her feed.,She's casually dropping hints about the new project online.,grok
RMLB,listen carefully,"RMLB, we are not doing that again.","Read my lips, we are not doing that again.",grok
Trending,blowing up right now,Her dance is trending all over the app.,Her dance is super popular all over the app.,grok
SYS,see you soon,"Heading out now, SYS!","Heading out now, see you soon!",grok
CLK,click that,Just CLK the invite when it pops up.,Just click the invite when it shows up.,grok
Hard Launch,full public reveal,They hard launched the engagement last night.,They fully announced the engagement last night.,grok
VAT,extra tax fee,Don't forget the VAT gets added at checkout.,Don't forget the tax gets added at checkout.,grok
Shook,totally shocked,I was shook when the results came out.,I was completely shocked when the results came out.,grok
Shadow Work,deep personal dig,I've been deep in shadow work all week.,I've been doing a lot of hard self-reflection all week.,grok
CTO,look at this,CTO this playlist I just made.,"Check this out, this playlist I just made.",grok
Bare Minimum Monday,low-energy Monday,It's Bare Minimum Monday so I'm only answering urgent stuff.,It's Monday and I'm only doing the absolute essentials.,grok
Muted,turned off the noise,I muted the group chat hours ago.,I silenced the group chat hours ago.,grok
PIR,parents nearby,PIR so I gotta keep it short.,Parents are in the room so I have to keep it short.,grok
WYHAM,when you free up,WYHAM can you send those notes over?,When you have a minute can you send those notes over?,grok
YWHOL,yelling woohoo out loud,Just got accepted and I'm YWHOL in the middle of campus.,Just got accepted and I'm cheering out loud right in the middle of campus.,grok
B/F,boyfriend,My B/F cooked dinner for us last night and it slapped.,My boyfriend cooked dinner for us last night and it was amazing.,grok
FRT,for real though,"That setlist was perfect FRT, no skips at all.","That setlist was perfect for real, not a single skip.",grok
Fast Lane,quick life pace,She's been living in the Fast Lane ever since the promotion.,She's been moving at a crazy quick pace ever since the promotion.,grok
Common Ground,shared view,We finally hit Common Ground on where to go for break.,We finally agreed on where to go for break.,grok
Key Player,important person,He's a Key Player on the team so everyone checks with him first.,He's a really important person on the team so everyone checks with him first.,grok
ADAD,another day another dollar,"Just ADAD for me, clocking in and getting through it.","Just another workday for me, clocking in and getting through it.",grok
Reality Check,wake up call,Failing that midterm was a huge Reality Check for me.,Failing that midterm was a huge wake-up call for me.,grok
AOE,area of effect,"Watch out, her ultimate has a massive AOE and will wipe us.","Watch out, her ultimate covers a huge area and will wipe us.",grok
DNC,I do not understand,"You lost me at the math part, DNC what you just said.","You lost me at the math part, I have no idea what you just said.",grok
Flow State,deep focus,I hit Flow State last night and finished the whole chapter.,I locked in deep last night and finished the whole chapter.,grok
Verified,official account,"Don't fall for it, that page isn't Verified.","Don't fall for it, that page isn't an official account.",grok
Mood Swing,emotion change,He's on a Mood Swing today so just give him space.,His emotions are all over the place today so just give him space.,grok
ZZZ,sleeping bored tired,This lecture has me ZZZ already and it's only minute ten.,This lecture already has me bored and half asleep and it's only minute ten.,grok
GLNG,good luck next game,"Tough loss dude, GLNG you'll get them next time.","Tough loss dude, good luck next game you'll get them next time.",grok
After Party,event after event,Concert ends at eleven then we're sliding to the After Party.,Concert ends at eleven then we're heading to the party after.,grok
TIA,thanks in advance,Can you drop the notes in the group chat? TIA,Can you drop the notes in the group chat? Thanks ahead of time.,grok
NFM,none for me,"They're ordering tacos, NFM I'm still full from lunch.","They're ordering tacos, none for me I'm still full from lunch.",grok
NM,nothing much,Hey what's good? NM just scrolling and waiting for class.,Hey what's good? Nothing much just scrolling and waiting for class.,grok
MOD,moderator,The MOD muted him for starting drama again.,The moderator muted him for starting drama again.,grok
so fanum tax,absolute brain rot cringe,That transition on the video was so fanum tax I had to close it.,That transition on the video was so painfully cringe I had to close it.,grok
Rise Up,improve,We need to Rise Up before the finals or we're cooked.,We need to step it up before the finals or we're done for.,grok
Skill issue,blame for own loss,You died to the boss again? Classic Skill issue.,You died to the boss again? That's just on you for not being good enough.,grok
Game Plan,strategy,Alright what's the Game Plan for the group project?,Alright what's the strategy for the group project?,grok
TTFN,ta-ta for now,"Gotta bounce to my shift, TTFN y'all.","Gotta bounce to my shift, bye for now everyone.",grok
MEGO,eyes glaze over from boredom,"His long crypto rant was pure MEGO, I zoned out hard.","His long crypto rant made my eyes glaze over, I totally zoned out.",grok
;S,"huh, what did you say","Sorry ;S, the music's loud, say that again?","Sorry, what? The music's loud, can you repeat that?",grok
Iykyk,inside joke reference,"That group chat message was so random, iykyk.","That group chat message was so random, if you know you know.",grok
SIG2R,sorry I have to leave,"Love hanging but SIG2R, my train's almost here.","Love hanging but sorry I have to go, my train's almost here.",grok
Egirl,online aesthetic girl,She posted new pics going full egirl with the bangs and cat ears.,She posted new pics going full internet-girl style with the bangs and cat ears.,grok
A/S/L,age sex location ask,I still laugh remembering when everyone asked a/s/l right away.,"I still laugh remembering when everyone asked your age, sex, and location right away.",grok
Fumble,mess up a chance,He totally fumbled by ghosting after that great first date.,He totally blew it by ghosting after that great first date.,grok
That Ain’t It,not the right move,Skipping the group project meeting? That ain’t it.,Skipping the group project meeting? That's not the way to go.,grok
BWL,laughing really hard,The outtake reel had me BWL all afternoon.,The outtake reel had me cracking up all afternoon.,grok
Good Energy,positive atmosphere,I only want people with good energy at my birthday thing.,I only want people with a positive vibe at my birthday thing.,grok
1337,elite level,"Her gaming aim is straight 1337, no one comes close.","Her gaming aim is straight elite, no one comes close.",grok
YAA,yet another acronym,"Work just dropped YAA for the new policy, ugh.","Work just dropped yet another acronym for the new policy, ugh.",grok
G4C,heading out for coffee,Quick G4C before the afternoon meetings start.,Quick coffee run before the afternoon meetings start.,grok
based af,wiped from exercise,"That HIIT class left me based af, I'm crashing early.","That HIIT class left me totally wiped, I'm crashing early.",grok
Try Me,go ahead and challenge,You think I won't call you out? Try me.,You think I won't call you out? Go ahead and test me.,grok
HV,have,Do you hv time later to help with this edit?,Do you have time later to help with this edit?,grok
OMFG,oh my freaking god,OMFG they actually announced the reunion tour!,Oh my god they actually announced the reunion tour!,grok
STATS,age and sex info,The profile just listed stats and nothing else.,The profile just listed age and sex and nothing else.,grok
SMAZED,thick smoky haze,The backyard was completely smazed after the bonfire got going.,The backyard was completely filled with smoky haze after the bonfire got going.,grok
Slide In,send a private message,I might slide in later and ask about the tickets.,I might message privately later and ask about the tickets.,grok
Sis,friendly address for anyone,"Sis, you are not wearing that to the dinner.","Hey, you are not wearing that to the dinner.",grok
Solo Mission,handling it alone,"Grocery run is a solo mission today, no one's free.","Grocery run is something I'm doing alone today, no one's free.",grok
